lp;ilosc;czas ca³kowity(ms);czas/zapis(ms)
0;1000000;300;0.0003
1;1000000;200;0.0002
2;1000000;275;0.000275
3;1000000;308;0.000308
4;1000000;525;0.000525
5;1000000;547;0.000547
6;1000000;620;0.00062
7;1000000;707;0.000707
8;1000000;801;0.000801
9;1000000;874;0.000874
10;1000000;1188;0.001188
11;1000000;1152;0.001152
12;1000000;1346;0.001346
13;1000000;1214;0.001214
14;1000000;1248;0.001248
15;1000000;1323;0.001323
16;1000000;1411;0.001411
17;1000000;1469;0.001469
18;1000000;1516;0.001516
19;1000000;1597;0.001597
20;1000000;1622;0.001622
21;1000000;1703;0.001703
22;1000000;1761;0.001761
23;1000000;1858;0.001858
24;1000000;2228;0.002228
25;1000000;3077;0.003077
26;1000000;2014;0.002014
27;1000000;2045;0.002045
28;1000000;2175;0.002175
29;1000000;2192;0.002192
